CODGEO;Code département;Code de la commune;LIBGEO;population_totale;taux_diplome_universitaire_total;taux_bac_ou_moins_total;taux_universitaire_16_24_ans;taux_bac_ou_moins_16_24_ans;taux_universitaire_25_ans_et_plus;taux_bac_ou_moins_25_ans_et_plus
22033;22;033;Caurel;357;17.37;82.63;0.0;100.0;18.02;81.98
22034;22;034;Cavan;1481;23.97;76.03;17.54;82.46;24.51;75.49
22035;22;035;Les Champs-Géraux;1075;24.19;75.81;8.33;91.67;24.93;75.07
22036;22;036;La Chapelle-Blanche;240;25.0;75.0;28.57;71.43;24.39;75.61
22037;22;037;La Chapelle-Neuve;410;22.68;77.32;27.59;72.41;22.31;77.69
22039;22;039;La Chèze;563;16.52;83.48;35.48;64.52;14.17;85.83
22040;22;040;Coadout;508;22.05;77.95;0.0;100.0;22.27;77.73
22041;22;041;Coatascorn;235;23.83;76.17;0.0;100.0;24.35;75.65
22042;22;042;Coatréven;460;20.22;79.78;0.0;100.0;20.44;79.56
22043;22;043;Coëtlogon;225;24.0;76.0;50.0;50.0;21.74;78.26
22044;22;044;Coëtmieux;1604;22.44;77.56;30.0;70.0;22.2;77.8
22045;22;045;Cohiniac;353;18.7;81.3;43.33;56.67;16.41;83.59
22046;22;046;Le Mené;5702;13.85;86.15;13.85;86.15;13.86;86.14
22047;22;047;Corlay;944;20.23;79.77;0.0;100.0;21.06;78.94
22048;22;048;Corseul;2156;18.92;81.08;9.62;90.38;19.65;80.35
22049;22;049;Créhen;1751;23.53;76.47;25.6;74.4;23.37;76.63
22050;22;050;Dinan;16944;25.8;74.2;19.91;80.09;26.21;73.79
22052;22;052;Duault;357;19.61;80.39;0.0;100.0;19.83;80.17
22053;22;053;Éréac;606;9.41;90.59;0.0;100.0;9.69;90.31
22054;22;054;Erquy;4183;17.95;82.05;18.9;81.1;17.92;82.08
22055;22;055;Binic-Étables-sur-Mer;7789;27.38;72.62;26.47;73.53;27.42;72.58
22056;22;056;Évran;1756;19.59;80.41;27.36;72.64;19.09;80.91
22057;22;057;Le Faouët;387;19.38;80.62;25.0;75.0;19.07;80.93
22059;22;059;Le Fœil;1174;15.42;84.58;0.0;100.0;16.05;83.95
22060;22;060;Gausson;545;16.51;83.49;38.24;61.76;15.07;84.93
22061;22;061;Glomel;1467;22.36;77.64;18.06;81.94;22.58;77.42
22062;22;062;Gomené;477;10.27;89.73;23.81;76.19;8.97;91.03
22063;22;063;Gommenec'h;508;16.93;83.07;0.0;100.0;17.34;82.66
22064;22;064;Gouarec;870;11.26;88.74;17.24;82.76;11.06;88.94
22065;22;065;Goudelin;1694;23.02;76.98;14.18;85.82;23.78;76.22
22067;22;067;Grâces;2535;20.47;79.53;32.5;67.5;20.28;79.72
22068;22;068;Grâce-Uzel;332;9.64;90.36;0.0;100.0;10.36;89.64
22069;22;069;Guenroc;198;17.17;82.83;0.0;100.0;18.09;81.91
22070;22;070;Guingamp;6701;21.07;78.93;18.37;81.63;21.46;78.54
22071;22;071;Guitté;588;19.22;80.78;36.11;63.89;18.12;81.88
22072;22;072;Gurunhuel;423;28.13;71.87;40.0;60.0;27.54;72.46
22073;22;073;La Harmoye;375;17.87;82.13;16.67;83.33;17.95;82.05
22074;22;074;Le Haut-Corlay;585;13.85;86.15;16.0;84.0;13.75;86.25
22075;22;075;Hémonstoir;563;6.93;93.07;17.39;82.61;6.48;93.52
22076;22;076;Hénanbihen;1380;22.03;77.97;27.93;72.07;21.51;78.49
22077;22;077;Hénansal;1120;21.7;78.3;33.75;66.25;20.77;79.23
22079;22;079;Hénon;2000;17.7;82.3;15.38;84.62;17.86;82.14
22081;22;081;Hillion;4388;25.05;74.95;24.03;75.97;25.08;74.92
22082;22;082;Le Hinglé;910;18.9;81.1;26.97;73.03;18.03;81.97
22083;22;083;Illifaut;602;14.12;85.88;15.38;84.62;14.06;85.94
22084;22;084;Jugon-les-Lacs - Commune nouvelle;2411;21.24;78.76;13.74;86.26;21.67;78.33
22085;22;085;Kerbors;328;24.7;75.3;0.0;100.0;25.31;74.69
22086;22;086;Kerfot;620;17.9;82.1;0.0;100.0;18.72;81.28
22087;22;087;Kergrist-Moëlou;632;19.94;80.06;0.0;100.0;20.59;79.41
22088;22;088;Kerien;251;19.12;80.88;33.33;66.67;18.22;81.78
22090;22;090;Kermaria-Sulard;1071;23.25;76.75;0.0;100.0;23.92;76.08
22091;22;091;Kermoroc'h;354;18.64;81.36;20.0;80.0;18.54;81.46
22092;22;092;Kerpert;210;13.81;86.19;0.0;100.0;14.36;85.64
22093;22;093;Lamballe-Armor;17941;23.68;76.32;21.07;78.93;23.85;76.15
22094;22;094;Lancieux;1859;29.21;70.79;31.08;68.92;29.13;70.87
22095;22;095;Landebaëron;162;19.14;80.86;0.0;100.0;20.67;79.33
22096;22;096;Landébia;409;10.27;89.73;13.43;86.57;9.65;90.35
22097;22;097;La Landec;747;24.23;75.77;38.54;61.46;22.12;77.88
22098;22;098;Landéhen;1347;22.94;77.06;24.31;75.69;22.78;77.22
22099;22;099;Lanfains;941;17.53;82.47;22.22;77.78;17.3;82.7
22101;22;101;Langoat;1127;23.78;76.22;18.75;81.25;24.16;75.84
22103;22;103;Langrolay-sur-Rance;992;26.41;73.59;16.0;84.0;26.68;73.32
22104;22;104;Languédias;495;18.18;81.82;38.1;61.9;17.3;82.7
22105;22;105;Languenan;964;14.32;85.68;0.0;100.0;14.67;85.33
22106;22;106;Langueux;8008;24.9;75.1;16.31;83.69;25.21;74.79
22107;22;107;Bon Repos sur Blavet;1294;21.41;78.59;41.82;58.18;20.5;79.5
22108;22;108;Lanleff;140;25.0;75.0;0.0;100.0;25.93;74.07
22109;22;109;Lanloup;258;26.74;73.26;0.0;100.0;27.6;72.4
22110;22;110;Lanmérin;531;20.15;79.85;24.14;75.86;19.66;80.34
22111;22;111;Lanmodez;369;11.38;88.62;50.0;50.0;10.53;89.47
22112;22;112;Lannebert;401;22.44;77.56;0.0;100.0;23.02;76.98
22113;22;113;Lannion;21723;27.68;72.32;23.82;76.18;27.98;72.02
22114;22;114;Lanrelas;714;8.96;91.04;0.0;100.0;9.5;90.5
22115;22;115;Lanrivain;429;22.61;77.39;0.0;100.0;23.26;76.74
22116;22;116;Lanrodec;1250;21.6;78.4;3.29;96.71;24.13;75.87
22117;22;117;Lantic;1666;23.11;76.89;13.4;86.6;23.71;76.29
22118;22;118;Lanvallay;4470;26.24;73.76;13.6;86.4;26.61;73.39
22119;22;119;Lanvellec;599;21.7;78.3;0.0;100.0;22.03;77.97
22121;22;121;Lanvollon;1825;20.38;79.62;20.75;79.25;20.36;79.64
22122;22;122;Laurenan;677;17.58;82.42;22.41;77.59;17.12;82.88
22124;22;124;Lescouët-Gouarec;186;11.29;88.71;0.0;100.0;11.8;88.2
22126;22;126;Le Leslay;150;16.67;83.33;0.0;100.0;17.24;82.76
22127;22;127;Lézardrieux;1753;24.42;75.58;20.93;79.07;24.5;75.5
22128;22;128;Locarn;408;17.65;82.35;16.0;84.0;17.75;82.25
22129;22;129;Loc-Envel;73;27.4;72.6;50.0;50.0;24.62;75.38
22131;22;131;Loguivy-Plougras;766;15.27;84.73;19.61;80.39;14.97;85.03
22132;22;132;Lohuec;278;19.42;80.58;42.42;57.58;16.33;83.67
22133;22;133;Loscouët-sur-Meu;582;18.04;81.96;18.18;81.82;18.03;81.97
22134;22;134;Louannec;3335;25.64;74.36;16.67;83.33;25.94;74.06
22135;22;135;Louargat;2152;18.31;81.69;15.05;84.95;18.46;81.54
22136;22;136;Loudéac;9494;19.44;80.56;17.34;82.66;19.63;80.37
22137;22;137;Maël-Carhaix;1366;15.59;84.41;25.33;74.67;15.03;84.97
22138;22;138;Maël-Pestivien;321;17.45;82.55;0.0;100.0;18.18;81.82
22139;22;139;Magoar;75;26.67;73.33;0.0;100.0;28.57;71.43
22140;22;140;La Malhoure;541;22.18;77.82;27.59;72.41;21.88;78.13
22141;22;141;Mantallot;213;20.19;79.81;0.0;100.0;20.57;79.43
22143;22;143;Matignon;1654;13.18;86.82;0.0;100.0;13.29;86.71
22144;22;144;La Méaugon;1290;19.22;80.78;0.0;100.0;20.0;80.0
22145;22;145;Mégrit;804;19.65;80.35;9.09;90.91;20.43;79.57
22146;22;146;Mellionnec;425;27.06;72.94;25.0;75.0;27.16;72.84
22147;22;147;Merdrignac;2612;11.91;88.09;14.81;85.19;11.57;88.43
22148;22;148;Mérillac;235;23.4;76.6;33.33;66.67;22.73;77.27
22149;22;149;Merléac;443;20.09;79.91;25.0;75.0;19.71;80.29
22150;22;150;Le Merzer;972;24.18;75.82;29.33;70.67;23.75;76.25
22152;22;152;Minihy-Tréguier;1297;18.97;81.03;25.45;74.55;18.68;81.32
22153;22;153;Moncontour;738;13.01;86.99;0.0;100.0;13.22;86.78
22155;22;155;La Motte;1921;13.69;86.31;26.37;73.63;13.06;86.94
22156;22;156;Moustéru;628;19.43;80.57;21.21;78.79;19.22;80.78
22157;22;157;Le Moustoir;649;20.96;79.04;0.0;100.0;21.73;78.27
22158;22;158;Guerlédan;2503;20.34;79.66;9.18;90.82;20.79;79.21
22160;22;160;Noyal;958;26.41;73.59;33.33;66.67;26.19;73.81
22161;22;161;Pabu;2791;21.03;78.97;0.0;100.0;21.58;78.42
22162;22;162;Paimpol;8397;24.76;75.24;21.17;78.83;24.94;75.06
22163;22;163;Paule;686;20.85;79.15;20.83;79.17;20.85;79.15
22164;22;164;Pédernec;1765;20.79;79.21;31.09;68.91;20.05;79.95
22165;22;165;Penguily;537;18.06;81.94;24.72;75.28;16.74;83.26
22166;22;166;Penvénan;3043;25.86;74.14;27.68;72.32;25.79;74.21
22168;22;168;Perros-Guirec;8331;25.56;74.44;15.15;84.85;25.81;74.19
22169;22;169;Peumerit-Quintin;197;26.9;73.1;50.0;50.0;25.93;74.07
22170;22;170;Plaine-Haute;1622;21.82;78.18;25.0;75.0;21.57;78.43
22171;22;171;Plaintel;4373;23.97;76.03;29.09;70.91;23.55;76.45
22172;22;172;Plancoët;3114;17.5;82.5;13.02;86.98;17.76;82.24
22174;22;174;Pléboulle;692;16.04;83.96;16.67;83.33;16.01;83.99
22175;22;175;Plédéliac;1470;24.9;75.1;0.0;100.0;25.43;74.57
22176;22;176;Plédran;6196;18.06;81.94;13.93;86.07;18.31;81.69
22177;22;177;Pléguien;1379;23.93;76.07;28.57;71.43;23.76;76.24
22178;22;178;Pléhédel;1332;22.67;77.33;20.0;80.0;22.87;77.13
22179;22;179;Fréhel;1635;16.45;83.55;12.0;88.0;16.67;83.33
22180;22;180;Plélan-le-Petit;1840;20.6;79.4;14.29;85.71;20.98;79.02
22181;22;181;Plélauff;714;22.41;77.59;25.0;75.0;22.29;77.71
22182;22;182;Plélo;3010;19.37;80.63;13.39;86.61;19.63;80.37
22183;22;183;Plémet;3374;16.72;83.28;21.82;78.18;16.36;83.64
22184;22;184;Plémy;1442;18.38;81.62;23.53;76.47;18.05;81.95
22185;22;185;Plénée-Jugon;2299;16.14;83.86;15.88;84.12;16.16;83.84
22186;22;186;Pléneuf-Val-André;4647;25.52;74.48;8.18;91.82;25.94;74.06
22187;22;187;Plérin;15887;26.9;73.1;19.79;80.21;27.3;72.7
22188;22;188;Plerneuf;1041;25.17;74.83;13.56;86.44;25.87;74.13
22189;22;189;Plésidy;499;23.85;76.15;13.33;86.67;24.52;75.48
22190;22;190;Pleslin-Trigavou;3932;23.98;76.02;12.22;87.78;24.55;75.45
22193;22;193;Plestan;1478;17.46;82.54;21.05;78.95;17.21;82.79
22194;22;194;Plestin-les-Grèves;3864;22.31;77.69;17.65;82.35;22.43;77.57
22195;22;195;Pleubian;2485;17.46;82.54;22.0;78.0;17.27;82.73
22196;22;196;Pleudaniel;879;19.45;80.55;16.67;83.33;19.55;80.45
22197;22;197;Pleudihen-sur-Rance;2928;22.23;77.77;18.75;81.25;22.43;77.57
22198;22;198;Pleumeur-Bodou;4398;26.58;73.42;34.04;65.96;26.33;73.67
22199;22;199;Pleumeur-Gautier;1065;14.08;85.92;10.0;90.0;14.42;85.58
22200;22;200;Pléven;509;15.72;84.28;16.67;83.33;15.66;84.34
22201;22;201;Plévenon;883;24.69;75.31;21.95;78.05;24.82;75.18
22202;22;202;Plévin;714;17.65;82.35;11.63;88.37;18.03;81.97
22203;22;203;Plœuc-L'Hermitage;4014;20.43;79.57;20.66;79.34;20.41;79.59
22204;22;204;Ploëzal;1181;19.56;80.44;11.11;88.89;19.89;80.11
22205;22;205;Plorec-sur-Arguenon;405;13.58;86.42;0.0;100.0;14.47;85.53
22206;22;206;Châtelaudren-Plouagat;3872;23.63;76.37;29.34;70.66;23.25;76.75
22207;22;207;Plouaret;2225;18.88;81.12;23.26;76.74;18.61;81.39
22208;22;208;Plouasne;1583;17.44;82.56;19.23;80.77;17.27;82.73
22209;22;209;Beaussais-sur-Mer;4145;22.63;77.37;22.5;77.5;22.63;77.37
22210;22;210;Ploubazlanec;3307;24.64;75.36;14.06;85.94;24.85;75.15
22211;22;211;Ploubezre;3732;25.8;74.2;24.81;75.19;25.84;74.16
22212;22;212;Plouëc-du-Trieux;1045;15.12;84.88;0.0;100.0;15.72;84.28
22213;22;213;Plouër-sur-Rance;3926;30.62;69.38;22.22;77.78;31.02;68.98
22214;22;214;Plouézec;3215;18.01;81.99;12.5;87.5;18.27;81.73
22215;22;215;Ploufragan;11075;20.26;79.74;16.12;83.88;20.53;79.47
22216;22;216;Plougonver;745;14.77;85.23;14.06;85.94;14.83;85.17
22217;22;217;Plougras;400;15.25;84.75;16.0;84.0;15.2;84.8
22218;22;218;Plougrescant;1247;21.09;78.91;26.32;73.68;21.01;78.99
22219;22;219;Plouguenast-Langast;2259;18.64;81.36;28.95;71.05;18.09;81.91
22220;22;220;Plouguernével;1649;19.16;80.84;10.71;89.29;19.62;80.38
22221;22;221;Plouguiel;1744;18.06;81.94;8.62;91.38;18.39;81.61
22222;22;222;Plouha;4782;19.45;80.55;16.67;83.33;19.54;80.46
22223;22;223;Plouisy;1916;21.4;78.6;9.26;90.74;21.75;78.25
22224;22;224;Ploulec'h;1666;25.45;74.55;0.0;100.0;26.03;73.97
22225;22;225;Ploumagoar;5192;21.24;78.76;20.63;79.37;21.29;78.71
22226;22;226;Ploumilliau;2641;24.61;75.39;27.68;72.32;24.48;75.52
22227;22;227;Plounérin;774;20.03;79.97;25.0;75.0;19.61;80.39
22228;22;228;Plounévez-Moëdec;1350;14.44;85.56;22.73;77.27;13.71;86.29
22229;22;229;Plounévez-Quintin;960;13.75;86.25;8.0;92.0;14.07;85.93
22231;22;231;Plourac'h;373;19.84;80.16;20.0;80.0;19.83;80.17
22232;22;232;Plourhan;2160;26.25;73.75;15.66;84.34;26.67;73.33
22233;22;233;Plourivo;2227;21.87;78.13;20.97;79.03;21.89;78.11
22234;22;234;Plouvara;1075;19.26;80.74;27.62;72.38;18.35;81.65
22235;22;235;Plouzélambre;239;30.96;69.04;32.14;67.86;30.81;69.19
22236;22;236;Pludual;682;20.67;79.33;0.0;100.0;21.56;78.44
22237;22;237;Pluduno;1936;14.77;85.23;0.0;100.0;15.43;84.57
22238;22;238;Plufur;548;21.17;78.83;50.0;50.0;20.08;79.92
22239;22;239;Plumaudan;1220;19.75;80.25;16.67;83.33;19.91;80.09
22240;22;240;Plumaugat;999;14.01;85.99;0.0;100.0;14.51;85.49
22241;22;241;Plumieux;935;13.37;86.63;29.69;70.31;12.17;87.83
22242;22;242;Plurien;1584;19.32;80.68;27.03;72.97;18.94;81.06
22243;22;243;Plusquellec;546;20.15;79.85;0.0;100.0;20.52;79.48
22244;22;244;Plussulien;510;21.18;78.82;33.33;66.67;20.88;79.12
22245;22;245;Pluzunet;856;15.07;84.93;0.0;100.0;15.39;84.61
22246;22;246;Pommeret;2004;25.55;74.45;19.32;80.68;25.84;74.16
22248;22;248;Pommerit-le-Vicomte;1787;17.85;82.15;24.17;75.83;17.4;82.6
22249;22;249;Pont-Melvez;621;20.45;79.55;0.0;100.0;21.17;78.83
22250;22;250;Pontrieux;1024;18.75;81.25;0.0;100.0;19.26;80.74
22251;22;251;Pordic;7653;26.77;73.23;22.04;77.96;27.01;72.99
22254;22;254;Prat;1051;20.55;79.45;5.41;94.59;21.7;78.3
22255;22;255;La Prénessaye;775;14.97;85.03;14.06;85.94;15.05;84.95
22256;22;256;Quemper-Guézennec;1004;14.94;85.06;0.0;100.0;15.38;84.62
22257;22;257;Quemperven;391;25.58;74.42;0.0;100.0;27.1;72.9
22258;22;258;Quessoy;3797;21.7;78.3;26.21;73.79;21.3;78.7
22259;22;259;Quévert;4158;23.71;76.29;6.67;93.33;24.35;75.65
22260;22;260;Le Quillio;500;7.2;92.8;0.0;100.0;7.61;92.39
22261;22;261;Quintenic;354;24.86;75.14;0.0;100.0;25.81;74.19
22262;22;262;Quintin;2824;21.53;78.47;6.94;93.06;22.31;77.69
22263;22;263;Le Quiou;318;18.87;81.13;0.0;100.0;19.8;80.2
22264;22;264;La Roche-Jaudy;2543;18.36;81.64;9.52;90.48;19.07;80.93
22265;22;265;Rospez;1704;23.42;76.58;12.9;87.1;23.81;76.19
22266;22;266;Rostrenen;3137;17.02;82.98;0.0;100.0;17.72;82.28
22267;22;267;Rouillac;368;17.39;82.61;33.33;66.67;16.28;83.72
22268;22;268;Ruca;507;10.26;89.74;24.24;75.76;9.28;90.72
22269;22;269;Runan;212;13.21;86.79;;;13.21;86.79
22271;22;271;Saint-Adrien;360;21.67;78.33;19.05;80.95;21.83;78.17
22272;22;272;Saint-Agathon;2259;24.3;75.7;25.18;74.82;24.25;75.75
22273;22;273;Saint-Alban;2311;21.07;78.93;8.89;91.11;21.57;78.43
22274;22;274;Saint-André-des-Eaux;346;20.23;79.77;0.0;100.0;21.47;78.53
22275;22;275;Saint-Barnabé;1079;11.21;88.79;8.33;91.67;11.38;88.62
22276;22;276;Saint-Bihy;275;30.55;69.45;20.0;80.0;31.6;68.4
22277;22;277;Saint-Brandan;2120;16.51;83.49;28.13;71.88;15.76;84.24
22278;22;278;Saint-Brieuc;45813;26.19;73.81;19.69;80.31;26.76;73.24
22279;22;279;Saint-Caradec;1078;16.6;83.4;14.75;85.25;16.72;83.28
22280;22;280;Saint-Carné;1039;23.77;76.23;23.53;76.47;23.79;76.21
22281;22;281;Saint-Carreuc;1295;12.82;87.18;0.0;100.0;13.39;86.61
22282;22;282;Saint-Cast-le-Guildo;3964;24.45;75.55;27.2;72.8;24.36;75.64
22283;22;283;Saint-Clet;881;19.18;80.82;23.68;76.32;18.76;81.24
22284;22;284;Saint-Connan;266;12.78;87.22;0.0;100.0;13.49;86.51
22285;22;285;Saint-Connec;257;14.79;85.21;0.0;100.0;15.83;84.17
22286;22;286;Saint-Denoual;446;21.3;78.7;20.0;80.0;21.36;78.64
22287;22;287;Saint-Donan;1384;21.46;78.54;7.41;92.59;22.03;77.97
22288;22;288;Saint-Étienne-du-Gué-de-l'Isle;298;7.38;92.62;0.0;100.0;7.59;92.41
22289;22;289;Saint-Fiacre;193;4.66;95.34;;;4.66;95.34
22291;22;291;Saint-Gildas;217;19.82;80.18;0.0;100.0;20.67;79.33
22293;22;293;Saint-Gilles-les-Bois;406;20.94;79.06;26.47;73.53;20.43;79.57
22294;22;294;Saint-Gilles-Pligeaux;307;20.52;79.48;0.0;100.0;21.5;78.5
22295;22;295;Saint-Gilles-Vieux-Marché;366;29.23;70.77;;;29.23;70.77
22296;22;296;Saint-Glen;575;17.57;82.43;0.0;100.0;18.0;82.0
22299;22;299;Saint-Hélen;1437;24.7;75.3;26.32;73.68;24.66;75.34
22300;22;300;Saint-Hervé;369;18.16;81.84;18.6;81.4;18.1;81.9
22302;22;302;Saint-Jacut-de-la-Mer;1095;29.68;70.32;14.81;85.19;30.06;69.94
22304;22;304;Saint-Jean-Kerdaniel;600;20.67;79.33;11.43;88.57;21.24;78.76
22305;22;305;Saint-Jouan-de-l'Isle;421;19.0;81.0;0.0;100.0;20.1;79.9
22306;22;306;Saint-Judoce;584;27.05;72.95;25.0;75.0;27.11;72.89
22307;22;307;Saint-Julien;1907;20.4;79.6;15.63;84.38;20.56;79.44
22308;22;308;Saint-Juvat;591;17.43;82.57;25.0;75.0;17.16;82.84
22309;22;309;Saint-Launeuc;176;21.02;78.98;0.0;100.0;21.51;78.49
22310;22;310;Saint-Laurent;435;17.01;82.99;13.79;86.21;17.24;82.76
22311;22;311;Saint-Lormel;839;17.4;82.6;24.62;75.38;16.8;83.2
22312;22;312;Saint-Maden;223;26.91;73.09;50.0;50.0;26.05;73.95
22313;22;313;Saint-Martin-des-Prés;298;14.77;85.23;40.0;60.0;12.95;87.05
22314;22;314;Saint-Maudan;323;10.53;89.47;0.0;100.0;11.15;88.85
22315;22;315;Saint-Maudez;282;18.79;81.21;14.71;85.29;19.35;80.65
22316;22;316;Saint-Mayeux;456;20.18;79.82;17.39;82.61;20.32;79.68
22317;22;317;Saint-Méloir-des-Bois;256;16.8;83.2;42.86;57.14;12.67;87.33
22318;22;318;Saint-Michel-de-Plélan;299;16.72;83.28;0.0;100.0;18.05;81.95
22319;22;319;Saint-Michel-en-Grève;531;24.86;75.14;0.0;100.0;25.29;74.71
22320;22;320;Saint-Nicodème;197;24.87;75.13;0.0;100.0;26.92;73.08
22321;22;321;Saint-Nicolas-du-Pélem;1574;18.61;81.39;20.21;79.79;18.51;81.49
22322;22;322;Saint-Péver;383;22.19;77.81;0.0;100.0;22.49;77.51
22323;22;323;Saint-Pôtan;765;18.3;81.7;11.11;88.89;18.75;81.25
22324;22;324;Saint-Quay-Perros;1454;26.55;73.45;18.57;81.43;26.95;73.05
22325;22;325;Saint-Quay-Portrieux;3600;25.08;74.92;19.23;80.77;25.3;74.7
22326;22;326;Saint-Rieul;509;24.75;75.25;21.28;78.72;25.11;74.89
22327;22;327;Saint-Samson-sur-Rance;1532;23.17;76.83;37.74;62.26;22.65;77.35
22328;22;328;Saint-Servais;405;20.74;79.26;0.0;100.0;21.48;78.52
22330;22;330;Saint-Thélo;367;15.26;84.74;20.0;80.0;14.99;85.01
22331;22;331;Sainte-Tréphine;160;12.5;87.5;25.0;75.0;10.71;89.29
22332;22;332;Saint-Trimoël;480;22.92;77.08;33.33;66.67;22.58;77.42
22333;22;333;Saint-Vran;664;14.61;85.39;18.18;81.82;14.35;85.65
22334;22;334;Saint-Igeaux;90;0.0;100.0;;;0.0;100.0
22335;22;335;Senven-Léhart;224;20.09;79.91;33.33;66.67;19.14;80.86
22337;22;337;Sévignac;984;12.91;87.09;5.71;94.29;13.46;86.54
22338;22;338;Squiffiec;746;21.58;78.42;29.79;70.21;21.03;78.97
22339;22;339;Taden;2839;29.52;70.48;31.88;68.12;29.33;70.67
22340;22;340;Tonquédec;1243;27.27;72.73;29.13;70.87;27.06;72.94
22341;22;341;Tramain;628;16.72;83.28;9.3;90.7;17.26;82.74
22342;22;342;Trébédan;351;16.81;83.19;38.6;61.4;12.59;87.41
22343;22;343;Trébeurden;4605;30.42;69.58;14.41;85.59;30.84;69.16
22344;22;344;Trébrivan;754;21.88;78.12;19.51;80.49;22.02;77.98
22345;22;345;Trébry;784;21.43;78.57;13.79;86.21;21.72;78.28
22346;22;346;Trédaniel;789;13.94;86.06;10.96;89.04;14.25;85.75
22347;22;347;Trédarzec;1065;19.53;80.47;15.25;84.75;19.78;80.22
22348;22;348;Trédias;426;12.91;87.09;0.0;100.0;13.38;86.62
22349;22;349;Trédrez-Locquémeau;1533;22.64;77.36;22.06;77.94;22.66;77.34
22350;22;350;Tréduder;184;33.15;66.85;0.0;100.0;34.66;65.34
22351;22;351;Treffrin;515;20.0;80.0;0.0;100.0;21.02;78.98
22352;22;352;Tréfumel;235;10.64;89.36;0.0;100.0;11.11;88.89
22353;22;353;Trégastel;3080;29.64;70.36;36.56;63.44;29.43;70.57
22354;22;354;Tréglamus;935;18.18;81.82;21.43;78.57;17.92;82.08
22356;22;356;Trégomeur;895;25.47;74.53;30.65;69.35;25.09;74.91
22358;22;358;Trégonneau;494;19.23;80.77;21.95;78.05;18.98;81.02
22359;22;359;Trégrom;409;20.54;79.46;0.0;100.0;20.95;79.05
22360;22;360;Trégueux;8127;20.04;79.96;25.0;75.0;19.72;80.28
22361;22;361;Tréguidel;628;21.02;78.98;29.85;70.15;19.96;80.04
22362;22;362;Tréguier;2640;23.52;76.48;11.45;88.55;24.15;75.85
22363;22;363;Trélévern;1500;29.33;70.67;0.0;100.0;29.53;70.47
22364;22;364;Trélivan;2797;19.13;80.87;32.08;67.92;18.35;81.65
22365;22;365;Trémargat;155;25.81;74.19;;;25.81;74.19
22366;22;366;Trémel;408;17.16;82.84;11.11;88.89;17.74;82.26
22368;22;368;Tréméreuc;747;24.63;75.37;20.83;79.17;24.76;75.24
22369;22;369;Trémeur;722;21.88;78.12;28.57;71.43;21.47;78.53
22370;22;370;Tréméven;375;18.67;81.33;0.0;100.0;20.0;80.0
22371;22;371;Trémorel;982;16.6;83.4;24.29;75.71;16.01;83.99
22372;22;372;Trémuson;2110;20.66;79.34;18.12;81.88;20.84;79.16
22373;22;373;Tréogan;125;32.0;68.0;50.0;50.0;30.43;69.57
22375;22;375;Tressignaux;625;23.2;76.8;20.0;80.0;23.31;76.69
22376;22;376;Trévé;1513;20.62;79.38;14.55;85.45;20.85;79.15
